CT_Hour_Begin,Month,Day,Year,Hour_Begin,Metered_Load,Deficit_Energy,Surplus_Energy,Total_Energy_Bought,Hourly_Prices,Hourly_Cost
1/1/18 0:00,1,1,2018,0,486996.4,0,-5327.3,0,28.41,0
1/1/18 1:00,1,1,2018,1,478153.5,0,-4721.2,0,28.83,0
1/1/18 2:00,1,1,2018,2,479066.5,12079.1,0,12079.1,34.27,413943.51
1/1/18 3:00,1,1,2018,3,486879.8,0,-24813.8,0,34.47,0
1/1/18 4:00,1,1,2018,4,504179.5,0,-25280.2,0,35.4,0
1/1/18 5:00,1,1,2018,5,523718.8,0,-22981.2,0,35.64,0
1/1/18 6:00,1,1,2018,6,541300.1,0,-27500,0,40.13,0
1/1/18 7:00,1,1,2018,7,560096.9,0,-39928.9,0,37.4,0
1/1/18 8:00,1,1,2018,8,591881.4,0,-14451.8,0,39.82,0
1/1/18 9:00,1,1,2018,9,614068.4,29636.2,0,29636.2,42.06,1246457.08
1/1/18 10:00,1,1,2018,10,622988.3,55047.3,0,55047.3,40.42,2225132.97
1/1/18 11:00,1,1,2018,11,615017.7,59265.8,0,59265.8,35.49,2103361.02
1/1/18 12:00,1,1,2018,12,593451.1,48376.9,0,48376.9,35.52,1718570.02
1/1/18 13:00,1,1,2018,13,566482.4,80958.9,0,80958.9,37.88,3066536.93
1/1/18 14:00,1,1,2018,14,552223.1,82418.6,0,82418.6,38.99,3213707.26
1/1/18 15:00,1,1,2018,15,559920.9,53204.8,0,53204.8,36.61,1947849.01
1/1/18 16:00,1,1,2018,16,606783.1,73496.5,0,73496.5,40.68,2989536.28
1/1/18 17:00,1,1,2018,17,657059.7,96173,0,96173,166.01,15965631.64
1/1/18 18:00,1,1,2018,18,671094.6,83343.7,0,83343.7,194.49,16209899.59
1/1/18 19:00,1,1,2018,19,668892.4,76103.5,0,76103.5,197.37,15020509.74
1/1/18 20:00,1,1,2018,20,659246.5,61260.1,0,61260.1,197.38,12091334.76
1/1/18 21:00,1,1,2018,21,636967.1,135978.7,0,135978.7,194.49,26446701.33
1/1/18 22:00,1,1,2018,22,603530.4,123412.3,0,123412.3,197.38,24358749.54
1/1/18 23:00,1,1,2018,23,576969.8,136543,0,136543,180.08,24588267.47
1/2/18 0:00,1,2,2018,0,566131.5,107129,0,107129,190.69,20427946.93
1/2/18 1:00,1,2,2018,1,567675.9,88284.9,0,88284.9,191.61,16916587.51
1/2/18 2:00,1,2,2018,2,576858.7,86227.9,0,86227.9,193.41,16677562.33
1/2/18 3:00,1,2,2018,3,594195.8,33212.3,0,33212.3,193.27,6419054.14
1/2/18 4:00,1,2,2018,4,628295.8,0,-14048.1,0,253.29,0
1/2/18 5:00,1,2,2018,5,671168.3,0,-42593.1,0,204.42,0
1/2/18 6:00,1,2,2018,6,705571.9,0,-28433.9,0,242.36,0
1/2/18 7:00,1,2,2018,7,711679.1,0,-33059.4,0,250.98,0
1/2/18 8:00,1,2,2018,8,690993.6,0,-73621.9,0,250.84,0
1/2/18 9:00,1,2,2018,9,658015.6,0,-44333.3,0,245.17,0
1/2/18 10:00,1,2,2018,10,623525.1,17882.7,0,17882.7,253.28,4529348.14
1/2/18 11:00,1,2,2018,11,591615.2,0,-3503.5,0,225.38,0
1/2/18 12:00,1,2,2018,12,563664.2,0,-21274,0,37.04,0
1/2/18 13:00,1,2,2018,13,539902,31192.7,0,31192.7,37.84,1180256.91
1/2/18 14:00,1,2,2018,14,531017.3,57466.2,0,57466.2,40.88,2349022.87
1/2/18 15:00,1,2,2018,15,542419.9,0,-22621.5,0,34.78,0
1/2/18 16:00,1,2,2018,16,593102.4,24989.8,0,24989.8,253.29,6329691.43
1/2/18 17:00,1,2,2018,17,655738.6,27740.9,0,27740.9,253.29,7026520.3
1/2/18 18:00,1,2,2018,18,668571.2,0,-12712.7,0,253.29,0
1/2/18 19:00,1,2,2018,19,664745.4,0,-24245.1,0,197.38,0
1/2/18 20:00,1,2,2018,20,643791.5,0,-9469.9,0,235.99,0
1/2/18 21:00,1,2,2018,21,603510.6,36741.1,0,36741.1,236.53,8690335.64
1/2/18 22:00,1,2,2018,22,559335.7,81342.8,0,81342.8,235.64,19167715
1/2/18 23:00,1,2,2018,23,525174.1,43909.8,0,43909.8,235.36,10334500.75
1/3/18 0:00,1,3,2018,0,508765.4,28729.8,0,28729.8,233.36,6704357.4
1/3/18 1:00,1,3,2018,1,501630.8,3694.9,0,3694.9,234,864606.6
1/3/18 2:00,1,3,2018,2,501471.3,0,-799.7,0,262.67,0
1/3/18 3:00,1,3,2018,3,509477.1,0,-73163.2,0,262.67,0
1/3/18 4:00,1,3,2018,4,534243.6,0,-103273.5,0,262.67,0
1/3/18 5:00,1,3,2018,5,567321.7,0,-116562.6,0,262.67,0
1/3/18 6:00,1,3,2018,6,594301.4,0,-136136,0,262.67,0
1/3/18 7:00,1,3,2018,7,600688,0,-140860.5,0,262.67,0
