CT_Hour_Begin,Month,Day,Hour_Begin,2016,2017,2018,2019,2020
1/1/16 00:00,1,1,0,0,0,0,0,0
1/1/16 01:00,1,1,1,0,0,0,0,0
1/1/16 02:00,1,1,2,0,0,0,0,0
1/1/16 03:00,1,1,3,0,0,0,0,0
1/1/16 04:00,1,1,4,0,0,0,0,0
1/1/16 05:00,1,1,5,0,0,0,0,0
1/1/16 06:00,1,1,6,-2.232,-13.344,22.248,26.688,148.368
1/1/16 07:00,1,1,7,179.088,-342.6,-634.032,401.568,-3169.032
1/1/16 08:00,1,1,8,-1940.976,-842.04,-1745.28,-2044.968,5660.088
1/1/16 09:00,1,1,9,1788.12,1423.8,-3507.528,-3890.592,-6405.36
1/1/16 10:00,1,1,10,-2086.08,1192.44,4593.552,9072.84,9435
1/1/16 11:00,1,1,11,2026.704,1044.504,6281.352,-8458.848,10537.272
1/1/16 12:00,1,1,12,-2168.352,-2130.456,7444.872,6404.4,10943.664
1/1/16 13:00,1,1,13,1936.44,-4643.232,8974.824,-7609.872,9844.872
1/1/16 14:00,1,1,14,-1023.36,-2336.712,-4349.208,4168.272,6923.976
1/1/16 15:00,1,1,15,362.616,-1106.328,-2817.648,-2573.856,-3004.752
1/1/16 16:00,1,1,16,-28.92,-86.76,261.408,241.368,204.84
1/1/16 17:00,1,1,17,0,0,0,0,0
1/1/16 18:00,1,1,18,0,0,0,0,0
1/1/16 19:00,1,1,19,0,0,0,0,0
1/1/16 20:00,1,1,20,0,0,0,0,0
1/1/16 21:00,1,1,21,0,0,0,0,0
1/1/16 22:00,1,1,22,0,0,0,0,0
1/1/16 23:00,1,1,23,0,0,0,0,0
1/2/16 00:00,1,2,0,0,0,0,0,0
1/2/16 01:00,1,2,1,0,0,0,0,0
1/2/16 02:00,1,2,2,0,0,0,0,0
1/2/16 03:00,1,2,3,0,0,0,0,0
1/2/16 04:00,1,2,4,0,0,0,0,0
1/2/16 05:00,1,2,5,0,0,0,0,0
1/2/16 06:00,1,2,6,-57.84,-164.616,94.56,-20.016,0
1/2/16 07:00,1,2,7,1126.8,-1201.344,-3730.248,685.2,-105.192
1/2/16 08:00,1,2,8,2017.56,1789.344,6440.016,1568.184,435.168
1/2/16 09:00,1,2,9,4701.552,-3474.48,-6893.976,1747.488,1246.728
1/2/16 10:00,1,2,10,4688.184,7821.792,-9001.128,-1529.472,3542.328
1/2/16 11:00,1,2,11,9002.832,-7488.792,-11693.256,3172.08,-6008.784
1/2/16 12:00,1,2,12,-8508.216,5553,12564.792,-3429.24,9413.616
1/2/16 13:00,1,2,13,-9905.544,-3533.04,11097.768,3425.016,-8209.944
1/2/16 14:00,1,2,14,-5184.792,2182.104,-8458.488,-2906.256,-6473.184
1/2/16 15:00,1,2,15,2950.68,-1149.048,-4326.336,1488.648,2910.816
1/2/16 16:00,1,2,16,-142.392,-68.976,357.072,172.416,267.96
1/2/16 17:00,1,2,17,0,0,0,0,0
1/2/16 18:00,1,2,18,0,0,0,0,0
1/2/16 19:00,1,2,19,0,0,0,0,0
1/2/16 20:00,1,2,20,0,0,0,0,0
1/2/16 21:00,1,2,21,0,0,0,0,0
1/2/16 22:00,1,2,22,0,0,0,0,0
1/2/16 23:00,1,2,23,0,0,0,0,0
1/3/16 00:00,1,3,0,0,0,0,0,0
1/3/16 01:00,1,3,1,0,0,0,0,0
1/3/16 02:00,1,3,2,0,0,0,0,0
1/3/16 03:00,1,3,3,0,0,0,0,0
1/3/16 04:00,1,3,4,0,0,0,0,0
1/3/16 05:00,1,3,5,0,0,0,0,0
1/3/16 06:00,1,3,6,18.912,-76.752,0,85.656,-7.752
1/3/16 07:00,1,3,7,906.552,506.112,5.568,-1747.056,-272.4
1/3/16 08:00,1,3,8,3262.056,-1238.04,0,-1931.832,467.28
