,CT_Hour_Begin,Month,Day,Year,Hour_Begin,Metered_Load,Deficit_Energy,Surplus_Energy,Total_Energy_Bought,Hourly_Prices,Hourly_Cost,original_solar_smoothing_cost,adjusted_solar_smoothing_cost,Adjusted_Energy,is_charging,is_discharging,is_holding,Adjusted_Hourly_Cost,running_state_of_charge
0,1/1/20 0:00,1,1,2020,0,388659.7,130406.1,0.0,130406.1,16.37,2135191.24,0,0,388659.7,0,0,,6362.359289000001,18000.0
1,1/1/20 1:00,1,1,2020,1,377294.5,130370.9,0.0,130370.9,17.5,2281621.12,0,0,377294.5,0,0,,6602.65375,18000.0
2,1/1/20 2:00,1,1,2020,2,375749.0,125151.4,0.0,125151.4,19.44,2432680.4,0,0,375749.0,0,0,,7304.560560000001,18000.0
3,1/1/20 3:00,1,1,2020,3,383579.9,127894.8,0.0,127894.8,23.22,2969103.36,0,0,383579.9,0,0,,8906.725278000002,18000.0
4,1/1/20 4:00,1,1,2020,4,397321.1,64832.9,0.0,64832.9,22.51,1459706.26,0,0,397321.1,0,0,,8943.697961,18000.0
5,1/1/20 5:00,1,1,2020,5,416390.7,20578.8,0.0,20578.8,22.51,463156.76,0,0,416390.7,0,0,,9372.954657000002,18000.0
6,1/1/20 6:00,1,1,2020,6,433947.8,7293.0,0.0,7293.0,23.27,169711.03,0,0,433947.8,0,0,,10097.965306,18000.0
7,1/1/20 7:00,1,1,2020,7,442985.4,0.0,-44356.4,0.0,22.63,0.0,0,0,442985.4,0,0,,10024.759602,18000.0
8,1/1/20 8:00,1,1,2020,8,444555.1,0.0,-66061.6,0.0,18.27,0.0,0,0,444555.1,0,0,,8122.021676999999,18000.0
9,1/1/20 9:00,1,1,2020,9,444530.9,0.0,-43098.0,0.0,17.0,0.0,0,0,444530.9,0,0,,7557.025300000001,18000.0
10,1/1/20 10:00,1,1,2020,10,438752.6,0.0,-23453.1,0.0,15.62,0.0,0,0,438752.6,0,0,,6853.315611999999,18000.0
11,1/1/20 11:00,1,1,2020,11,427493.0,0.0,-20215.8,0.0,14.89,0.0,0,0,427493.0,0,0,,6365.37077,18000.0
12,1/1/20 12:00,1,1,2020,12,411735.5,60162.3,0.0,60162.3,15.32,921758.63,0,0,411735.5,0,0,,6307.78786,18000.0
